Accession,Species,Length,Sequence_Type,Protein,Host,Isolation_Source,Collection_Date
QTZ55477.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11
QXY01813.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-01
QQY91871.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-01
QQD87330.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-01
QQD88638.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-01
QPO15469.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-01
QPO15481.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-01
QPO15601.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-01
UHK34455.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
UHK34467.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
UHK34479.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
UFP00700.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
UFP00724.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
UFP00808.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
UFP00820.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
UFP00832.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
UFP00844.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
UFP00856.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QXY01093.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QXY01105.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QXY01117.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QXY01141.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QXY01153.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QXY01165.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QXY01177.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QXM14539.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QXM01767.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QXF10338.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QWM88921.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QWM88933.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QWM91569.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QWM91581.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QWE77936.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QWE78212.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QWE78248.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QWE78260.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTZ45630.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTZ45642.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTZ45654.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTU35727.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTU35739.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTU35751.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTU35763.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTU35775.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTU35787.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTU35799.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTS72380.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTS72392.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTS72404.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTP23594.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTP23606.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTC54895.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTC54919.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTC54931.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTC54955.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTC54991.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTC55015.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTC55027.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTC55099.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTC55147.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QTC05097.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QSG74299.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QQD88518.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QQD88530.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QQD88542.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QQD88566.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QQD88578.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QQD63960.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPZ56154.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPO15493.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPO15613.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPO15625.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPO15637.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPN04730.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPN04742.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPN04754.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPN06300.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPI69933.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPI69945.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPI69957.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
QPI69969.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-02
UHK34491.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UHK34503.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UGL69941.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UGL69953.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00712.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00748.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00760.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00772.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00784.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00880.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00892.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00928.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00940.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00952.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00964.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00976.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP00988.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP01000.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP01012.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP01024.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP01036.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UFP01156.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QYF56878.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QXY01189.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QXY01201.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QXY01213.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QXY01357.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QXM14359.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QXM14551.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QXM01755.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QXJ12567.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QWM88945.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QWM88957.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QWM91593.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QWM91605.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QWE78284.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QWE78332.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QWE78344.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QWE78368.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTZ21643.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTZ33679.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTY18749.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU85268.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU85280.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU85292.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU85304.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35811.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35823.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35835.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35847.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35871.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35883.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35907.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35919.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35931.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35943.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35955.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35967.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35979.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU35991.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36003.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36015.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36027.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36039.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36051.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36063.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36075.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36087.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36099.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36111.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36123.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36135.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTU36147.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTS72416.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC54812.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC54847.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC54883.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC54907.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC54943.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC54967.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC54979.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC55003.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC55039.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC55051.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC55063.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC55075.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC55087.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC55111.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC55123.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC55135.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QTC05109.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QPO15517.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QPO15649.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QPI70065.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QPI12536.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QPI12548.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QPI12560.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
QPI12608.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-03
UHK36170.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UHK36182.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UHK36194.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UHK36206.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UHK36218.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UHK36230.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UHK36242.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UHK36254.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UHK36266.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UFP00916.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UFP01048.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UFP01072.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UFP01084.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UFP01096.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UFP01180.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
UFP01192.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
QYF56890.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
QYF56902.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
QYF56938.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
QXY01225.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
QXY01237.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
QXY01249.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
QXY01273.1,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,surface glycoprotein,Homo sapiens,oronasopharynx,2020-11-04
